coverage,risk,min_confidence
0.04992816091954023,0.0,0.9988905748972526
0.09985632183908046,0.0,0.9977627150713595
0.1497844827586207,0.0,0.996911433193607
0.1997126436781609,0.0,0.9957893259351989
0.25,0.0,0.9946058669207191
0.2999281609195402,0.003592814371257485,0.9932365417746404
0.34985632183908044,0.006160164271047228,0.9916824340897958
0.39978448275862066,0.008086253369272238,0.9899864985690414
0.44971264367816094,0.00718849840255591,0.9883020931425609
0.49964080459770116,0.007907979870596693,0.9866443946623235
0.5499281609195402,0.007184846505551927,0.9847971104211479
0.5998563218390804,0.007784431137724551,0.9829402274922965
0.6497844827586207,0.007186290768380321,0.9810888516046744
0.6997126436781609,0.006673511293634497,0.9790864859216313
0.75,0.006704980842911878,0.9760172621389134
0.7999281609195402,0.00673551863493489,0.9718699476527407
0.8498563218390804,0.006762468300929839,0.9637734937577408
0.8997844827586207,0.007984031936127744,0.8767574129502094
0.9497126436781609,0.01399394856278366,0.4707878676499332
1.0,0.03484195402298851,0.00023189486785701874
