accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,brier,log_loss,threshold,tn,fp,fn,tp,expected_cost
0.8850574712643678,0.8957814316558712,0.24019607843137256,0.9074074074074074,0.3798449612403101,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.02,1183,155,5,49,0.7363505747126436
0.9145114942528736,0.9111028068427172,0.3006134969325153,0.9074074074074074,0.45161290322580644,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.03,1224,114,5,49,0.5890804597701149
0.9216954022988506,0.9148397276199967,0.3202614379084967,0.9074074074074074,0.47342995169082125,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.04,1234,104,5,49,0.5531609195402298
0.9252873563218391,0.8989370536455739,0.3263888888888889,0.8703703703703703,0.47474747474747475,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.05,1241,97,7,47,0.5998563218390804
0.9288793103448276,0.9008055140342135,0.3381294964028777,0.8703703703703703,0.48704663212435234,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.06,1246,92,7,47,0.5818965517241379
0.9295977011494253,0.8834080717488789,0.3358208955223881,0.8333333333333334,0.4787234042553192,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.07,1249,89,9,45,0.6429597701149425
0.9353448275862069,0.8863976083707026,0.35714285714285715,0.8333333333333334,0.5,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.08,1257,81,9,45,0.6142241379310345
0.9360632183908046,0.8690001660853679,0.35537190082644626,0.7962962962962963,0.49142857142857144,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.09000000000000001,1260,78,11,43,0.6752873563218391
0.9396551724137931,0.8619830592924763,0.3684210526315789,0.7777777777777778,0.5,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.1,1266,72,12,42,0.6896551724137931
0.9418103448275862,0.8631041355256601,0.3783783783783784,0.7777777777777778,0.509090909090909,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.11,1269,69,12,42,0.6788793103448276
0.944683908045977,0.864598903836572,0.3925233644859813,0.7777777777777778,0.5217391304347826,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.12000000000000001,1273,65,12,42,0.6645114942528736
0.9482758620689655,0.8486962298621491,0.40816326530612246,0.7407407407407407,0.5263157894736842,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.13,1280,58,14,40,0.7112068965517241
0.9497126436781609,0.8316724796545425,0.41304347826086957,0.7037037037037037,0.5205479452054794,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.13999999999999999,1284,54,16,38,0.7686781609195402
0.9511494252873564,0.8324198638099983,0.4222222222222222,0.7037037037037037,0.5277777777777778,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.15,1286,52,16,38,0.7614942528735632
0.9511494252873564,0.8324198638099983,0.4222222222222222,0.7037037037037037,0.5277777777777778,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.16,1286,52,16,38,0.7614942528735632
0.951867816091954,0.8239079887061951,0.42528735632183906,0.6851851851851852,0.524822695035461,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.16999999999999998,1288,50,17,37,0.7902298850574713
0.9540229885057471,0.8161434977578474,0.43902439024390244,0.6666666666666666,0.5294117647058824,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.18,1292,46,18,36,0.8117816091954023
0.9540229885057471,0.798372363394785,0.4358974358974359,0.6296296296296297,0.5151515151515151,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.19,1294,44,20,34,0.8764367816091954
0.9540229885057471,0.7894867962132537,0.4342105263157895,0.6111111111111112,0.5076923076923077,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.19999999999999998,1295,43,21,33,0.9087643678160919
0.9540229885057471,0.7806012290317224,0.43243243243243246,0.5925925925925926,0.5,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.21,1296,42,22,32,0.9410919540229885
0.9540229885057471,0.7806012290317224,0.43243243243243246,0.5925925925925926,0.5,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.22,1296,42,22,32,0.9410919540229885
0.9525862068965517,0.7620827105132038,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.22999999999999998,1296,42,24,30,1.0129310344827587
0.9533045977011494,0.7446852682278691,0.417910447761194,0.5185185185185185,0.4628099173553719,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.24,1299,39,26,28,1.0739942528735633
0.9533045977011494,0.7446852682278691,0.417910447761194,0.5185185185185185,0.4628099173553719,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.25,1299,39,26,28,1.0739942528735633
0.9568965517241379,0.7287825942534463,0.4482758620689655,0.48148148148148145,0.4642857142857143,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.26,1306,32,28,26,1.1206896551724137
0.9554597701149425,0.7102640757349277,0.42857142857142855,0.4444444444444444,0.43636363636363634,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.27,1306,32,30,24,1.1925287356321839
0.9576149425287356,0.7113851519681116,0.4528301886792453,0.4444444444444444,0.4485981308411215,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.28,1309,29,30,24,1.1817528735632183
0.9576149425287356,0.693614017605049,0.4489795918367347,0.4074074074074074,0.42718446601941745,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.29000000000000004,1311,27,32,22,1.2464080459770115
0.9568965517241379,0.6843547583457897,0.4375,0.3888888888888889,0.4117647058823529,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.30000000000000004,1311,27,33,21,1.2823275862068966
0.9568965517241379,0.6665836239827272,0.4318181818181818,0.35185185185185186,0.3877551020408163,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.31,1313,25,35,19,1.3469827586206897
0.9576149425287356,0.666957316060455,0.4418604651162791,0.35185185185185186,0.3917525773195876,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.32,1314,24,35,19,1.3433908045977012
0.9561781609195402,0.6395532303604052,0.41025641025641024,0.2962962962962963,0.34408602150537637,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.33,1315,23,38,16,1.4475574712643677
0.9568965517241379,0.6310413552566019,0.4166666666666667,0.2777777777777778,0.3333333333333333,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.34,1317,21,39,15,1.4762931034482758
0.9568965517241379,0.6221557880750705,0.4117647058823529,0.25925925925925924,0.3181818181818182,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.35000000000000003,1318,20,40,14,1.5086206896551724
0.9568965517241379,0.6132702208935393,0.40625,0.24074074074074073,0.3023255813953488,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.36000000000000004,1319,19,41,13,1.540948275862069
0.9576149425287356,0.5958727786082046,0.4074074074074074,0.2037037037037037,0.2716049382716049,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.37000000000000005,1322,16,43,11,1.6020114942528736
0.959051724137931,0.5966201627636605,0.44,0.2037037037037037,0.27848101265822783,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.38,1324,14,43,11,1.5948275862068966
0.9604885057471264,0.5973675469191164,0.4782608695652174,0.2037037037037037,0.2857142857142857,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.39,1326,12,43,11,1.5876436781609196
0.9597701149425287,0.5881082876598571,0.45454545454545453,0.18518518518518517,0.2631578947368421,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.4,1326,12,44,10,1.6235632183908046
0.9604885057471264,0.5884819797375851,0.47619047619047616,0.18518518518518517,0.26666666666666666,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.41000000000000003,1327,11,44,10,1.6199712643678161
